GENERAL CONCEPT (GOAL),STRATEGIES,ADAPT TYPE,SOUTHEAST COASTAL CLIMATE HAZARDS,SOUTHWEST CLIMATE HAZARDS,CULTURAL RESOURCE IMPACTS FROM CLIMATE HAZARD(S),ENVIRONMENTAL SETTING / CONTEXT (MACRO-SCALE),ARCHEOLOGY SUBTYPES,CULTURAL LANDSCAPES SUBTYPES,MUSEUM COLLECTIONS SUBTYPES,HISTORIC STRUCTURES SUBTYPE,FEASIBILITY ,NOTE(S),LONGEVITY ,NOTE(S),BEST PRACTICE GUIDANCE,HISTORIC RESOURCE CONSIDERATIONS,(if applicable/known)           TRIBAL CONSIDERATIONS             ,CASE STUDY REFERENCE,EFFECTIVENESS ,NOTE(S),CITATION - NAME,CITATION - LINK,PG #
Building design/materials,Thermal mass,ACCLIMATE (intrinsic),,Increased average temperature,,SW - Desert,,,,building,HIGH,"Materials that assist in thermal massing (concrete, tiles, brick, and stone) are widely available.",MID to LONG,Longevity will depend on quality of materials and local conditions.,,New/replacement materials should complement historic materials,,,,,2019_Scorched: Extreme Heat and Real Estate,,30
Building design/materials,High-performance building envelope,ACCLIMATE (intrinsic),,Increased average temperature,,SW - Desert,,,,building,MED to HIGH,Concept is a widely accepted practice but would depend on available funding.,MID to LONG,Longevity will depend on quality of materials and local conditions.,,New/replacement materials should complement historic materials,,,,,2019_Scorched: Extreme Heat and Real Estate,,30
Incorporate shading to reduce temperature,"Shading structures (awnings, umbrellas)",ACCLIMATE (intrinsic),,Increased average temperature,,SW - Desert,,,,"building, larger site",HIGH,"Shading is a cost-effective method, the document states. ",MID to LONG,Longevity will depend on quality of materials and local conditions.,,"Shading structures would likely not constitute a significant alteration to a building and could likely be undone, thereby not impacting integrity",,,,,2019_Scorched: Extreme Heat and Real Estate,,30
Waste heat reduction,Electric and ground-source heat pumps or heat recovery chillers,ACCLIMATE (intrinsic),,Increased average temperature,,SW - Desert,,,,building,MED,"Feasilibity will depend on the size of the building and local conditions, both of which will dictate scale of need.",MID,Longevity will depend on quality of the heat pump/chiller and local conditions.,,Heat pumps or heat recovery chillers would likely have minimal impact to historic resource,,,,,2019_Scorched: Extreme Heat and Real Estate,,30
Incorporate shading to reduce temperature,Urban canopy,ACCLIMATE (intrinsic),,Increased average temperature,,SW - Desert,,,,larger site,HIGH,The document refers to canopy as the “cheapest beneficial infrastructure.” ,LONG,Longevity will depend on local conditions.,,"Planting of canopy should consider spatial patterns, circulation, and views that might be impacted.",,,,,2019_Scorched: Extreme Heat and Real Estate,,32
Incoporating water features to reduce temperature,Adding water features or preserving naturally occurring systems,ACCLIMATE (intrinsic),,Increased average temperature,,SW - Desert,,,,larger site,MED to HIGH,Primarily only effective in dry climates as water features can increase humidity,LONG,Longevity will depend on local conditions.,,"Consider impact of introducing new water feature (e.g. fountains) on spatial patterns, circulation, and views.", ,,,,2019_Scorched: Extreme Heat and Real Estate,,32
Mitigate negative effects of heat wave,Reconsider hours of operations and plan for uses and programming that align with cooler hours of the day. ,TEND / TELL (aphysical),Increased average temperature,Increased average temperature,,"SE - Inland, SE - Coastal, SW - Desert, SW - Mountain",,land use,,larger site,HIGH,These changes may require less monetary investment and could be a simple reordering of scheduled events/hours.,,,,Consider if time of day or seasonality is important to historic resource interpretation.,,,,,Climate.Park.Change [online source],climate.park.change.,
Detain and release stormwater runoff ,Earthen dam and detention pond,ACCLIMATE (intrinsic),,Flash Flooding,,SW - Mountain,,,,larger site,MED,Feasibility will depend on available space on site and  regular maintenance.,LONG,Longevity will depend on stability of the dam and local conditions,,Introductin of these features could impact historic spatial patterns and views.,,"Buffalo, Wyoming, Flood Control",,Document notes that project was completed in 2019 but indicates that data is not yet available to measure success,2023_Mitigation Action Portfolio,,66
,,,,,,,,,,,,,,,,,,,,,,,
Reduce the risk of unacceptable fire,Alter forest structure and composition to reduce the risk and spread of unacceptably severe fire,ACCLIMATE (intrinsic),Increased Wildfire,Increased Wildfire,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,land use,,larger site,MED,This strategy would likely require repeated implementation depending on future conditions.,MID to LONG,"Techniques (mechanical thinning, prescribed burning, and containing/managing acceptable wildfires for resource benefit) have been effective in mitigating fire risk, severity, and intensity.",,,,,,,Adaptation Strategies and Approaches for Managing Fire in a Changing Climate,,8
Sustain fire as a fundamental ecological process,Restore or maintain fire in fire-adapted ecosystems,ACCLIMATE (intrinsic),Increased Wildfire,Increased Wildfire,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,land use,,larger site,MED,This strategy would likely require repeated implementation depending on future conditions.,MID,"The document notes that evidence confirms that fire-dependent ecosystems, 
process-based restoration of fire regimes may increase resilience.",,,,,,,Adaptation Strategies and Approaches for Managing Fire in a Changing Climate,,7
Facilitate ecosystem adaptation to expected future conditions and fire regimes,Use fire as a tool to align existing vegetation communities with changing conditions and fire regimes,ACCLIMATE (intrinsic),Increased Wildfire,Increased Wildfire,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,land use,,larger site,MED,This strategy would likely require repeated implementation depending on future conditions.,MID,Longevity will depend on local conditions.,,,,,,,Adaptation Strategies and Approaches for Managing Fire in a Changing Climate,,12
Incoporating firefighting features into landscape,On-site landscaping and fishing ponds that dual-function as dipping for firefighting helicopters,PROTECT (extrinsic),Increased Wildfire,Increased Wildfire,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,larger site,MED,Feasibility will depend on details and scale of landscaping changes ,MID,Longevity will depend on how features are maintained.,,Alterations to landscape should assess impacts to historic spatial patterns and views,,,,,2020_Firebreak: Wildfire Resilience Strategies for Real Estate,,47
Non-combustible building materials,Requiring cementitious siding and class A roofs in building construction,PROTECT (extrinsic),Increased Wildfire,Increased Wildfire,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"assembly, material, building",MED to HIGH,"Feasibility will depend on cost of materials and ability to require using these materials, as the community in Boise, Idaho, referenced in the source",LONG,Cementitious siding and class A roofs are well-established for fire protection,,Changes to cladding materials and roof on an existing historic building would likely impact integrity,,"Avimor Development, Boise, Idaho",,Residents are required to have building site reviewed by a certified Firewise USA specialist,2020_Firebreak: Wildfire Resilience Strategies for Real Estate,,47
"Thinning or removing combustible plants with less flammable, drought-tolerant, or irrigated plants to reduce wildfire intensity","Surrounding a site with a fuel modification zone (a mix of no vegetation, fire-resistant vegetation, and irrigated vegetation)",ACCLIMATE (intrinsic),Increased Wildfire,Increased Wildfire,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,larger site,MED,Feasilibty will depend on cost and and available labor to maintain fuel modification zone ,SHORT to MID,Fuel modification zone will require regular maintenance,,,,"Rancho Mission Viejo, Orange County, California",,,2020_Firebreak: Wildfire Resilience Strategies for Real Estate,,49
Non-combustible building materials,Cement plaster or zero-VOC clay walls and dense black locust decking to reduce flame spread,PROTECT (extrinsic),Increased Wildfire,Increased Wildfire,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"assembly, material, building",MED to HIGH,Feasilibity will depend on cost of materials,LONG,Cement plaster walls and dense black locust decking are well-established for fire protection,,Changes to materials on an existing historic building would likely impact integrity,,"Pepperwood Preserve, Sonoma County, California",,,2020_Firebreak: Wildfire Resilience Strategies for Real Estate,,51
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
